,source,target,value
98,Jon ,Snow ,191
99,Jon ,Baratheon ,8
100,Jon ,Arryn ,61
101,Jon ,Tully ,3
102,Jon ,Lannister ,6
103,Jon ,Darry ,3
104,Jon ,Mormont ,16
105,Jon ,Thorne ,5
106,Jon ,Noye ,10
107,Jon ,Marsh ,9
108,Jon ,Tarly ,10
109,Jon ,Slynt ,4
110,Jon ,Bran ,18
111,Jon ,Pyp ,15
112,Jon ,The Old Bear ,4
113,Jon ,Halfhand ,6
114,Jon ,Melisandre ,5
115,Jon ,Craster ,6
116,Jon ,Gilly ,4
117,Jon ,Rattleshirt ,6
118,Jon ,Harma ,3
119,Jon ,Ben ,4
120,Jon ,Dalbridge ,3
121,Jon ,Stonesnake ,4
122,Jon ,Ygritte ,19
123,Jon ,Tollett ,3
124,Jon ,Connington ,27
125,Jon ,Fossoway ,3
126,Jon ,Dolorous Edd ,6
127,Jon ,Squire Dalbridge ,3
128,Jon ,Styr ,3
129,Jon ,Tormund ,16
130,Jon ,Val ,6
131,Jon ,Jarl ,3
132,Jon ,Tom ,3
133,Jon ,Grigg ,4
134,Jon ,Errok ,3
135,Jon ,Alys ,4
136,Jon ,Arron ,3
137,Jon ,Satin ,15
138,Jon ,Kegs ,5
139,Jon ,Owen ,7
140,Jon ,Hop-Robin ,3
141,Jon ,Emmett ,4
142,Jon ,Jack ,4
143,Jon ,Toyne ,3
144,Jon ,Giantsbane ,5
145,Jon ,Horse ,8
146,Jon ,Iron Emmett ,3
147,Jon ,Leathers ,6
148,Jon ,Ned ,19
149,Jon ,Long ,4
150,Jon ,Pinchface ,3
151,Eddard ,Theon ,8
152,Eddard ,Robert ,12
153,Eddard ,Sansa ,5
154,Eddard ,Benjen ,3
155,Eddard ,Cersei ,3
156,Eddard ,Joffrey ,4
157,Eddard ,Mordane ,3
158,Eddard ,Renly ,3
159,Eddard ,Torrhen ,5
160,Eddard ,Stark ,93
161,Eddard ,Greyjoy ,4
162,Theon ,Robert ,3
163,Theon ,Rodrik ,5
164,Theon ,Rickon ,3
165,Theon ,Catelyn ,3
166,Theon ,Arya ,4
167,Theon ,Luwin ,6
168,Theon ,Balon ,7
169,Theon ,Hallis ,4
170,Theon ,Jeyne ,3
171,Theon ,Stark ,5
172,Theon ,Greyjoy ,74
173,Theon ,Cassel ,4
174,Theon ,Mollen ,3
175,Theon ,Pyke ,3
176,Theon ,Bolton ,5
177,Theon ,Bran ,10
178,Theon ,Greatjon ,3
179,Theon ,Dagmer ,3
180,Theon ,Esgred ,3
181,Theon ,Wex ,3
182,Theon ,Ramsay ,8
183,Theon ,Ned ,4
184,Robert ,Catelyn ,3
185,Robert ,Aerys ,5
186,Robert ,Benjen ,3
187,Robert ,Lysa ,3
188,Robert ,Cersei ,16
189,Robert ,Rhaegar ,9
190,Robert ,Elia ,3
191,Robert ,Jaime ,13
192,Robert ,Tyrion ,9
193,Robert ,Balon ,7
194,Robert ,Lyanna ,3
195,Robert ,Tywin ,7
196,Robert ,Joffrey ,5
197,Robert ,Myrcella ,3
198,Robert ,Barristan ,3
199,Robert ,Stannis ,10
200,Robert ,Renly ,10
201,Robert ,Petyr ,3
202,Robert ,Varys ,5
203,Robert ,Mya ,5
204,Robert ,Kevan ,3
205,Robert ,Stark ,15
206,Robert ,Greyjoy ,4
207,Robert ,Baratheon ,44
208,Robert ,Arryn ,16
209,Robert ,Targaryen ,5
210,Robert ,Lannister ,8
211,Robert ,Stone ,3
212,Robert ,Ned ,35
213,Jory ,Hullen ,5
214,Jory ,Harwin ,3
215,Jory ,Rodrik ,3
216,Jory ,Arya ,4
217,Jory ,Sansa ,4
218,Jory ,Mordane ,3
219,Jory ,Alyn ,3
220,Jory ,Cassel ,7
221,Jory ,Fat Tom ,4
222,Jory ,Tom ,4
223,Harwin ,Arya ,4
224,Harwin ,Alyn ,7
225,Harwin ,Anguy ,5
226,Harwin ,Tom ,3
227,Rodrik ,Catelyn ,5
228,Rodrik ,Luwin ,6
229,Rodrik ,Walder ,3
230,Rodrik ,Stark ,5
231,Rodrik ,Cassel ,12
232,Rodrik ,Bran ,6
233,Rickon ,Catelyn ,3
234,Rickon ,Arya ,7
235,Rickon ,Sansa ,7
236,Rickon ,Bran ,48
237,Desmond ,Edmure ,3
238,Desmond ,Wayn ,3
239,Desmond ,Robin ,3
240,Catelyn ,Arya ,3
241,Catelyn ,Sansa ,4
242,Catelyn ,Luwin ,3
243,Catelyn ,Hoster ,9
244,Catelyn ,Brynden ,6
245,Catelyn ,Lysa ,8
246,Catelyn ,Cersei ,5
247,Catelyn ,Jaime ,6
248,Catelyn ,Tyrion ,11
249,Catelyn ,Rickard ,3
250,Catelyn ,Tywin ,3
251,Catelyn ,Edmure ,8
252,Catelyn ,Walder ,6
253,Catelyn ,Renly ,5
254,Catelyn ,Petyr ,3
255,Catelyn ,Maege ,3
256,Catelyn ,Jason ,3
257,Catelyn ,Bronn ,4
258,Catelyn ,Wendel ,4
259,Catelyn ,Stark ,51
260,Catelyn ,Tully ,16
261,Catelyn ,Lannister ,8
